title,href,points
GPT in 500 Lines of SQL (explainextended.com),https://explainextended.com/2023/12/31/happy-new-year-15/,707
Ten years of remembering every day that passes (2022) (lembransation.blogspot.com),http://lembransation.blogspot.com/2022/01/ten-years-of-remembering-every-day-that.html,133
Power Metal: is it really about dragons? (2018) (atomutek.org),https://notes.atomutek.org/power-metal-and-dragons.html,167
"Shoes makes building little graphical programs for Mac, Windows, Linux simple (shoesrb.com)",http://shoesrb.com/,122
Show HN: Consol3 – A 3D engine for the terminal that executes on the CPU (github.com/victormeriqui),https://github.com/Victormeriqui/Consol3,132
Go(lang): Robust generic functions on slices (go.dev),https://go.dev/blog/generic-slice-functions,111
DVD's New Cousin Can Store More Than a Petabit (ieee.org),https://spectrum.ieee.org/data-storage-petabit-optical-disc,117
Please make your table headings sticky (btxx.org),https://btxx.org/posts/Please_Make_Your_Table_Headings_Sticky/,236
"Show HN: OK-Robot: open, modular home robot framework for pick-and-drop anywhere (ok-robot.github.io)",https://ok-robot.github.io/,474
Generative Models: What do they know? Do they know things? Let's find out (intrinsic-lora.github.io),https://intrinsic-lora.github.io/,316
Meta's new LLM-based test generator (engineerscodex.com),https://read.engineerscodex.com/p/metas-new-llm-based-test-generator,332
